id,latitude,longitude,temperature_2m,relative_humidity_2m,apparent_temperature,is_day,precipitation,rain,showers,weather_code,cloud_cover,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,site_timestamp,poll_timestamp,location
9189,-34.0,25.5,18.0,77.0,14.9,0,0.0,0.0,0.0,3,100.0,1023.1,1023.1,30.1,249.0,47.5,2025-09-03 20:00:00,2025-09-03 19:00:01,Bay Side
9192,-34.0,25.5,17.4,83.0,14.7,0,0.0,0.0,0.0,3,99.0,1023.7,1023.7,28.8,250.0,47.5,2025-09-03 21:00:00,2025-09-03 20:00:01,Bay Side
9193,-34.0,25.5,17.1,85.0,14.7,0,0.0,0.0,0.0,3,97.0,1024.0,1024.0,27.3,252.0,45.0,2025-09-03 22:00:00,2025-09-03 21:00:01,Bay Side
9196,-34.0,25.5,17.0,87.0,14.8,0,0.0,0.0,0.0,3,83.0,1024.0,1024.0,25.9,256.0,42.8,2025-09-03 23:00:00,2025-09-03 22:00:01,Bay Side
9197,-34.0,25.5,17.0,86.0,15.0,0,0.0,0.0,0.0,2,79.0,1023.8,1023.8,24.3,258.0,40.7,2025-09-04 00:00:00,2025-09-03 23:00:01,Bay Side
9199,-34.0,25.5,17.0,87.0,15.3,0,0.0,0.0,0.0,2,65.0,1023.9,1023.9,22.5,264.0,37.8,2025-09-04 01:00:00,2025-09-04 00:00:05,Bay Side
9201,-34.0,25.5,16.7,86.0,15.3,0,0.0,0.0,0.0,1,38.0,1023.1,1023.1,19.2,275.0,34.6,2025-09-04 02:00:00,2025-09-04 01:00:01,Bay Side
9203,-34.0,25.5,16.8,84.0,15.6,0,0.0,0.0,0.0,1,40.0,1022.7,1022.7,17.1,277.0,30.2,2025-09-04 03:00:00,2025-09-04 02:00:00,Bay Side
9205,-34.0,25.5,16.8,83.0,15.8,0,0.0,0.0,0.0,1,36.0,1022.2,1022.2,14.9,277.0,26.6,2025-09-04 04:00:00,2025-09-04 03:00:00,Bay Side
9207,-34.0,25.5,16.8,81.0,15.8,0,0.0,0.0,0.0,2,46.0,1022.3,1022.3,14.9,277.0,23.4,2025-09-04 05:00:00,2025-09-04 04:00:01,Bay Side
9209,-34.0,25.5,16.8,80.0,15.7,0,0.0,0.0,0.0,2,58.0,1022.1,1022.1,14.6,279.0,23.8,2025-09-04 06:00:00,2025-09-04 05:00:01,Bay Side
9211,-34.0,25.5,16.7,79.0,15.5,0,0.0,0.0,0.0,2,69.0,1022.3,1022.3,14.8,283.0,23.8,2025-09-04 07:00:00,2025-09-04 06:00:01,Bay Side
9213,-34.0,25.5,16.7,77.0,15.5,1,0.0,0.0,0.0,2,70.0,1022.3,1022.3,14.0,288.0,23.0,2025-09-04 08:00:00,2025-09-04 07:00:01,Bay Side
9215,-34.0,25.5,17.0,73.0,15.5,1,0.0,0.0,0.0,1,43.0,1022.7,1022.7,14.7,287.0,25.2,2025-09-04 09:00:00,2025-09-04 08:00:01,Bay Side
9217,-34.0,25.5,17.5,70.0,15.9,1,0.0,0.0,0.0,1,28.0,1022.4,1022.4,15.3,278.0,24.5,2025-09-04 10:00:00,2025-09-04 09:00:01,Bay Side
9219,-34.0,25.5,18.0,67.0,16.4,1,0.0,0.0,0.0,0,2.0,1021.7,1021.7,15.2,265.0,25.2,2025-09-04 11:00:00,2025-09-04 10:00:01,Bay Side
9221,-34.0,25.5,18.2,66.0,17.7,1,0.0,0.0,0.0,3,84.0,1020.3,1020.3,11.4,246.0,24.8,2025-09-04 12:00:00,2025-09-04 11:00:01,Bay Side
9223,-34.0,25.5,18.5,67.0,18.1,1,0.0,0.0,0.0,1,36.0,1019.8,1019.8,13.3,229.0,22.0,2025-09-04 13:00:00,2025-09-04 12:00:01,Bay Side
9225,-34.0,25.5,18.8,70.0,18.8,1,0.0,0.0,0.0,1,37.0,1017.4,1017.4,12.7,223.0,21.2,2025-09-04 14:00:00,2025-09-04 13:00:01,Bay Side
9227,-34.0,25.5,18.5,76.0,18.0,1,0.0,0.0,0.0,1,18.0,1016.9,1016.9,16.1,219.0,26.6,2025-09-04 15:00:00,2025-09-04 14:00:01,Bay Side
9229,-34.0,25.5,18.4,78.0,16.9,1,0.0,0.0,0.0,2,53.0,1016.3,1016.3,20.0,218.0,31.7,2025-09-04 16:00:00,2025-09-04 15:00:01,Bay Side
9232,-34.0,25.5,18.2,81.0,16.7,1,0.0,0.0,0.0,2,69.0,1016.4,1016.4,21.2,222.0,33.8,2025-09-04 17:00:00,2025-09-04 16:00:01,Bay Side
9233,-34.0,25.5,18.0,82.0,16.3,1,0.0,0.0,0.0,3,100.0,1017.0,1017.0,22.4,233.0,34.9,2025-09-04 18:00:00,2025-09-04 17:00:01,Bay Side
9235,-34.0,25.5,17.8,81.0,16.1,1,0.0,0.0,0.0,3,95.0,1017.3,1017.3,21.7,238.0,36.0,2025-09-04 19:00:00,2025-09-04 18:00:01,Bay Side
