location,model,window,rows_train,rows_test,MAE,RMSE,R2
bay side,Linear,multi,16,5,1.377305280421779,1.5841039973685422,0.6465654261297191
bay side,Ridge,multi,16,5,1.3744274992091072,1.5865561441573204,0.645470366399529
bay side,ElasticNet,multi,16,5,1.8106408791311526,1.9700312304307714,0.45337703537005924
bay side,KNN,multi,16,5,2.4064538342421935,2.63670699995513,0.02081354878698838
bay side,RandomForest,multi,16,5,1.6935000000000002,2.114266569049419,0.3704051936619718
bay side,HGBDT,multi,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,XGBoost,multi,16,5,1.8662213563919068,2.3699086387239054,0.20894831607067665
bay side,LightGBM,multi,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,Linear (24h),w24,16,5,1.4562015006348528,1.6397285792012397,0.6213084769789696
bay side,Ridge (24h),w24,16,5,1.4376251989565714,1.602572113815514,0.6382764253550529
bay side,ElasticNet (24h),w24,16,5,1.3401120883656048,1.5479029175936505,0.662534726437333
bay side,KNN (24h),w24,16,5,2.6766398878240594,2.7898275456343002,-0.09621658230702868
bay side,RandomForest (24h),w24,16,5,1.9620000000000002,2.5879268971514633,0.05670906690140842
bay side,HGBDT (24h),w24,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,XGBoost (24h),w24,16,5,1.5952908039093017,2.1095448489837563,0.3732141591726903
bay side,LightGBM (24h),w24,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,Linear (48h),w48,16,5,2.1909541529296184,2.499035596513845,0.12039733624742133
bay side,Ridge (48h),w48,16,5,1.6710647297579784,2.0035797234310206,0.43460116786705283
bay side,ElasticNet (48h),w48,16,5,2.3318539812792403,2.652413187578082,0.009113279205898439
bay side,KNN (48h),w48,16,5,2.250433023399328,2.5255095213344783,0.10166220530266123
bay side,RandomForest (48h),w48,16,5,1.6052500000000003,2.11713463494885,0.36869590669014085
bay side,HGBDT (48h),w48,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,XGBoost (48h),w48,16,5,1.7521291017532348,2.258696448993698,0.28144934525398024
bay side,LightGBM (48h),w48,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,Linear (72h),w72,16,5,3.0267877021986065,3.5505174274750773,-0.7755174651836958
bay side,Ridge (72h),w72,16,5,2.8980945201639523,3.38176545336873,-0.6107517720560858
bay side,ElasticNet (72h),w72,16,5,3.1178641203438056,3.7154973155931903,-0.9443549721380569
bay side,KNN (72h),w72,16,5,2.294119054918988,2.576170951981811,0.0652596093190323
bay side,RandomForest (72h),w72,16,5,1.61525,1.958154663835316,0.45994793133802814
bay side,HGBDT (72h),w72,16,5,2.275,2.6908409466187333,-0.019806338028169
bay side,XGBoost (72h),w72,16,5,1.771242117881775,2.044398818128886,0.41132865808918506
bay side,LightGBM (72h),w72,16,5,2.275,2.6908409466187333,-0.019806338028169
